wavelength , correction_curve_intensity 
512.4528,86.2297240653581
512.0332,88.36657087545123
511.6136,87.36750028990441
511.19399999999996,85.00349065275286
510.7744,88.52146474018951
510.3548,87.05360611255335
509.9352,86.03101126753842
509.5156,86.37800721791992
509.096,86.26596293972372
508.6764,85.68928694984483
508.2568,86.50258478492641
507.8372,85.92107911127529
507.4176,86.74087890335801
506.998,87.5668378106689
506.5784,86.50812508225447
506.1588,86.38945837103293
505.7392,85.31598822672169
505.3196,85.66885198577798
504.9,86.98522966716986
504.4804,83.96875718469431
504.0608,84.31867796631991
503.6412,83.21109787648346
503.22159999999997,83.07095715935212
502.802,80.4755317273437
502.38239999999996,84.75644682856066
501.9628,82.63987295516993
501.5432,84.97726589248286
501.1236,84.33957977014471
500.704,83.69584677920899
500.2844,85.05923751292364
499.8648,83.90635616548578
499.4452,83.25058126363798
499.0256,84.11795328770677
498.606,78.84814600470627
498.1864,82.7879925291189
497.7668,81.08052455891576
497.3472,80.91362173824689
496.9276,82.30742424665284
496.508,76.91107636066931
496.0884,75.6708197950385
495.6688,82.86378490378617
495.2492,79.51706239631937
494.8296,82.52955845496038
494.40999999999997,81.28959871279079
493.9904,82.18663838085205
493.57079999999996,79.85364335649525
493.1512,81.83480543125027
492.7316,83.2885861307732
492.312,79.83342202397891
491.8924,80.19133955774377
491.4728,79.44832261249476
491.0532,81.46895044842597
490.6336,81.28026681211848
490.214,80.52990377782751
489.7944,76.40134045869908
489.3748,78.44210222788337
488.9552,78.23315587410508
488.5356,77.45206661276681
488.116,80.09575304371312
487.6964,78.16507324719565
487.2768,79.10279255676501
486.8572,75.98800025395715
486.4376,73.42632696858662
486.01800000000003,77.28012399605349
485.59839999999997,77.63999981988782
485.1788,80.36618031933305
484.75919999999996,76.58647431351574
484.3396,74.55992535353565
483.91999999999996,75.5099586683532
483.5004,75.26396635104624
483.0808,76.82974468891074
482.6612,75.37045347282557
482.2416,75.72863173976184
481.822,77.9303003048956
481.4024,73.37008641010543
480.9828,77.43847169688908
480.5632,75.32030793558944
480.1436,75.68282297033542
479.724,73.53402603222445
479.3044,74.52128397517211
478.8848,71.70970362143548
478.4652,75.88447709902768
478.0456,71.76882901329392
477.626,72.11956208562961
477.20640000000003,75.06122547740598
476.78679999999997,71.5283730259331
476.3672,71.22715074645117
475.94759999999997,72.89217214758325
475.528,71.93308607767995
475.10839999999996,72.95324573737682
474.6888,72.6496694105794
474.2692,71.00251104277258
473.8496,67.99162446669827
473.43,69.00903181351312
473.0104,71.39574236906516
472.5908,69.02194432638193
472.1712,70.0574542173292
471.7516,72.48321078841182
471.332,74.23888502357593
470.9124,68.3406158770779
470.4928,73.59577575046724
470.0732,70.44983916372875
469.6536,70.10310848832809
469.234,70.4636319078342
468.8144,67.96524279506704
468.3948,66.87832058123826
467.9752,68.67060590100823
467.5556,67.57418608490228
467.13599999999997,66.46539974761923
466.7164,65.34409666067103
466.29679999999996,68.63840908878652
465.8772,66.03101556806361
465.4576,69.3618146230022
465.038,66.72873109773946
464.6184,67.83542989733424
464.1988,65.92200443373949
463.7792,65.51074909171454
463.3596,68.15739505776409
462.94,61.592487374223325
462.5204,66.56668348598666
462.1008,68.48063885217285
461.6812,65.71992304390969
461.2616,67.64797861990826
460.842,66.43245039227222
460.4224,63.612373935613896
460.0028,63.15901847962129
459.5832,62.69971976865659
459.1636,65.46735585059525
458.744,62.57565111848954
458.32439999999997,66.18821123226705
457.9048,62.444804619079235
457.4852,64.44222880040536
457.0656,68.12228206467715
456.646,60.982293570196724
456.2264,61.32188589543092
455.8068,62.50896645728639
455.3872,66.25663603881179
454.9676,64.06583146438831
454.548,60.99022518942278
454.1284,63.92585877259115
453.7088,60.812401024164274
453.2892,63.77824209213189
452.8696,62.383529077682624
452.45,64.50638546215555
452.0304,63.09759716888187
451.6108,60.777719008184285
451.1912,60.22789766366093
450.7716,57.86243624413052
450.352,60.01515868075238
449.9324,58.53339834559768
449.51279999999997,58.87310752190425
449.0932,62.91665378448731
448.67359999999996,62.35305555389278
448.254,58.037326158192194
447.8344,63.08554086855905
447.4148,59.66799871103151
446.9952,60.97241281438127
446.5756,59.41610687606559
446.156,60.73216683448299
445.7364,62.0626868622107
445.3168,57.55481350145136
444.8972,55.93584735831509
444.4776,57.257949573706256
444.058,56.608521409721575
443.6384,59.9465381961123
443.2188,57.29284388788163
442.7992,60.673105583373925
442.3796,61.04111790370924
441.96,58.341710862935074
441.5404,56.63787020720924
441.1208,56.98410034403022
440.7012,54.20608165900895
440.2816,53.490346946915885
439.86199999999997,59.096363271604055
439.4424,55.214164523586255
439.0228,52.35095842456056
438.6032,53.75104848047799
438.1836,57.33082451246628
437.764,56.600213313717376
437.3444,55.85915362650748
436.9248,52.90319822939649
436.5052,56.56326465338135
436.0856,50.223562197919215
435.666,53.91058822430943
435.2464,54.25241217697805
434.8268,52.32241700205699
434.4072,53.80060563391631
433.9876,51.84040332013806
433.568,53.331951170563016
433.1484,53.67456199364787
432.7288,54.02027861373481
432.3092,57.914948500521426
431.8896,53.53157628639328
431.47,52.68178197514264
431.05039999999997,46.9991506505659
430.6308,53.37072266151129
430.2112,56.1617518787189
429.7916,51.61452542469087
429.372,51.95402741245669
428.9524,51.051503329345856
428.5328,56.40264019722314
428.1132,51.7297680769545
427.6936,54.613803131534056
427.274,48.58502267106256
426.8544,54.05806946031445
426.4348,51.828813175241706
426.0152,53.48140227082103
425.5956,52.52840630503892
425.176,58.17144935557169
424.7564,54.572233995443966
424.3368,50.922516378112995
423.9172,51.26913374074241
423.4976,47.54384618974651
423.078,47.86917936732363
422.65840000000003,52.3288285899178
422.23879999999997,49.915707012422295
421.8192,50.259989270533936
421.3996,49.201798495432385
420.98,53.789495987242965
420.5604,44.18597495894901
